"Gene ID"	"Fraction of isolates with >0.75 of gene missing"	"Nucleotide Diversity 1990"	"Nucleotide Diversity 2015"	"Watterson's Theta 1990"	"Watterson's Theta 2015"	"Tajima's D 1990"	"Tajima's D 2015"	"Fst 1990 vs 2015"	"Composite Likelihood Ratio 1990"	"Composite Likelihood Ratio 2015"
"ID=PCA_SD_18891"	0	0.00132	0.0013	0.00109	0.00109	0.49487	0.43827	NA	17.61991	19.46153
"ID=PCA_SD_18894"	0.52	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_18895"	0.52	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_18910"	0	0.00126	0.00165	0.00103	0.00155	0.36897	0.12598	NA	8.70134	14.89339
"ID=PCA_SD_19051"	0	0.00669	0.00377	0.00398	0.00313	2.08066	0.66955	NA	41.90714	41.61075
"ID=PCA_SD_19166"	0	0.00198	0.00034	0.0026	0.00024	-0.69529	0.72675	NA	43.15897	8.29319
"ID=PCA_SD_19245"	0	0.01302	0.0106	0.00664	0.00489	2.96687	3.44113	NA	50.07214	62.08197
"ID=PCA_SD_19461"	0	0.00016	6e-05	0.00036	0.00036	-0.70523	-1.08393	0.00043	6.54417	4.50089
"ID=PCA_SD_19463"	0	0.00311	0.00204	0.00238	0.0019	0.71514	0.15777	0.05841	18.58599	21.30089
"ID=PCA_SD_19465"	0	0.00076	0.00045	0.00111	0.00083	-0.67329	-0.90561	0.07425	12.48464	16.27211
"ID=PCA_SD_19466"	0	0.00229	0.0024	0.00143	0.00143	1.30947	1.48776	0.09818	20.49973	15.08264
"ID=PCA_SD_19782"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_19819"	0	0.00318	0	0.00217	NA	1.08921	NA	NA	25.34727	NA
"ID=PCA_SD_19824"	0	4e-05	0	0.00025	NA	-1.08393	NA	NA	3.46074	NA
"ID=PCA_SD_20000"	0.08	0	0.00283	NA	0.00146	NA	1.85287	NA	NA	19.0033
"ID=PCA_SD_20087"	0	0.00244	0.00156	0.00111	0.00111	2.05096	0.69996	0.0822	13.01312	10.86043
"ID=PCA_SD_20090"	0	0.00167	0	0.00104	NA	1.04222	NA	0	12.97332	NA
"ID=PCA_SD_20568"	0	0.01017	0.00258	0.00907	0.00648	0.3923	-2.05772	0.02412	58.85557	82.70635
"ID=PCA_SD_20592"	0	0.00243	0.00022	0.0014	0.0014	1.25162	-1.44362	0	11.57134	9.00179
"ID=PCA_SD_20681"	0	0.00074	0	0.00056	NA	0.40722	NA	0	7.75374	NA
"ID=PCA_SD_20688"	0	0.00291	3e-04	0.00289	0.00041	0.02311	-0.35357	0.00181	33.18483	6.1057
"ID=PCA_SD_20834"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_20883"	0	0.00035	0.00064	0.001	0.00067	-1.29943	-0.0566	NA	9.7668	9.11576
"ID=PCA_SD_21170"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_21569"	0	0.00323	0.00438	0.00138	0.00369	2.65445	0.49049	0.23246	17.25189	25.53454
"ID=PCA_SD_21687"	0	0.00542	0.00507	0.00494	0.00286	0.30263	2.18492	0.1235	46.45539	40.86611
"ID=PCA_SD_21688"	0	0.00843	0.00673	0.00764	0.00566	0.33224	0.5875	0.12611	50.77528	58.92865
"ID=PCA_SD_22009"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_22044"	0	0.00507	0.00038	0.00659	0.00101	-0.66994	-1.0721	0.19039	30.41019	8.76558
"ID=PCA_SD_22138"	0	0.00942	0.00486	0.00687	0.00323	1.13126	1.33163	0.15505	48.12778	41.71065
"ID=PCA_SD_22448"	0	0.00201	0.00154	0.00143	0.00071	0.89681	1.97891	0.30752	24.26118	13.49661
"ID=PCA_SD_22612"	0	0.00299	0.00222	0.00202	0.00135	1.30039	1.58631	NA	34.96772	34.00359
"ID=PCA_SD_22660"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_23000"	0	0.00083	4e-05	0.00053	0.00026	0.98142	-1.08393	NA	11.68673	4.50089
"ID=PCA_SD_23469"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_23470"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_23537"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_23676"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_23755"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_23796"	0	0.01292	0.01479	0.00591	0.0065	3.28928	3.60155	0.01253	55.3812	91.6565
"ID=PCA_SD_23798"	0	0.00472	0.00434	0.00253	0.00232	2.48047	2.46271	0.04181	47.01054	58.22328
"ID=PCA_SD_24046"	0.02	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_24205"	0	0.00383	0.00332	0.00206	0.00206	2.31301	1.64771	-0.02514	42.55316	34.94993
"ID=PCA_SD_24283"	0	0.00029	0	0.00065	NA	-0.70523	NA	0	6.54417	NA
"ID=PCA_SD_24295"	0	0.0045	0.0051	0.00415	0.00352	0.24444	1.27453	0.04327	31.63999	33.18612
"ID=PCA_SD_24339"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_24419"	0	0.0086	0.00837	0.00479	0.00479	2.23697	2.10314	NA	34.55005	32.81807
"ID=PCA_SD_24986"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_25335"	0	0.00886	0.01034	0.00542	0.00507	2.20693	3.26286	0.04305	112.7059	112.90012
"ID=PCA_SD_25526"	0.03	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_25683"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_25687"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_26163"	0	0.00419	0.00133	0.00226	0.00226	2.09976	-1.00685	NA	47.14361	42.22362
"ID=PCA_SD_26256"	0	0.00553	0.00506	0.00339	0.00283	1.80859	2.18685	0.10487	42.16703	46.17448
"ID=PCA_SD_26422"	0	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_26525"	0	0.01688	0.00793	0.01016	0.01072	2.18036	-0.86188	0.04483	145.38906	114.9728
"ID=PCA_SD_26536"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_26610"	0	0	0	NA	NA	NA	NA	NA	NA	NA
"ID=PCA_SD_26916"	0.02	0	0	NA	NA	NA	NA	0	NA	NA
"ID=PCA_SD_26917"	0.02	0	0	NA	NA	NA	NA	0	NA	NA
